kevaṭ,kevarta
kevṛā,ketaka
kevāṁc,kapikacchū
kevāṁch,kapikacchū
kesar,kesara
kesărī,kesarin
kehărī,kesarin
kai,kati
kaith,kapittha
kairu,kavala
kaisā,kīdr̥śa
koṁt,kunta
koṁpal,kuṭmala
ko,kakṣam
koī,kaścid
koī,kaumudika
kokh,kaukṣa
kokhā,kaukṣa
koṭvāl,koṭṭapāla
koṭhā,koṣṭhaka
koṭhār,koṣṭhāgāra
koṭhārī,koṣṭhāgārika
koṭhī,koṣṭha
koṛnā,koṭayate
koṛh,kuṣṭha
kodoṁ,kodrava
konā,koṇa
koyl,kokila
koylā,kokila
kor,koṭi
kor,kora
kor-,koṭayate
kol,kroḍa
kol,kola
kol-,koṭayate
kolā,kroḍa
kolā,kroṣṭra
kolī,kolika
kos,krośa
kosnā,krośati
kosā,kauśa
kosā,kośa
koh,krodha
koh,kūpa
kauṁlā,kamala
kauṛī,kapardikā
kaun,kaḥ punar
kaur,kavala
kauvā,kāka
kyārī,kedārikā
kyoṁ,kim
kvāṁrā,kumāra
kvāṁrī,kumārikā
kvār,kumāra
khaṇḍā,khaṇḍa
khambhā,skambha
khajūr,kharjūra
khajūrā,kharjūra
khajūrā,kharjūraka
khajūrī,kharjūraka
khaṭnā,khaṭṭayati
khaṭās,khaṭṭāśa
khaṭṭā,khaṭṭa
khaṛ,khaṭa
khaṛkhaṛānā,khaṭakhaṭāyate
khaṛā,khaḍaka
khaṛiyā,khaṭikā
khaṛuvā,khaḍū
khattā,khātra
khatrānī,kṣatriyāṇī
khatrī,kṣatriya
khan,kṣaṇa
khankhanānā,khaṇakhaṇāyate
khantā,khanitraka
khantī,khanitra
khannā,khanati
khanī,khani
khapnā,kṣapyate
khappar,kharpara
khabbā,kharva
khar,khara
khar,khaṭa
kharsān,khara
kharā,khara
khal,khala
khal,khala
khalkhalānā,khalakhalāyate
khalnā,khalati
khaliyān,khaledhānī
khalī,khala
khallā,khalla
khasrā,khasa
khāṁg,khaḍga
khāṁṛ,khaṇḍu
